,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7460113,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-13,,,,,24.0,
7460114,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-14,,,,,27.0,
7460115,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-16,,,,,18.0,
7460116,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-17,,,,,18.0,
7460117,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-18,,,,,20.0,
7460118,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-19,,,,,24.0,
7460119,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-20,,,,,27.0,
7460120,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-21,,,,,43.0,
7460121,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-23,,,,,28.0,
7460122,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-24,,,,,24.0,
7460123,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-25,,,,,29.0,
7460124,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-26,,,,,29.0,
7460125,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-27,,,,,32.0,
7460126,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-28,,,,,39.0,
7460127,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-11-30,,,,,23.0,
7460128,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-01,,,,,23.0,
7460129,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-02,,,,,29.0,
7460130,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-03,,,,,28.0,
7460131,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-04,,,,,36.0,
7460132,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-05,,,,,25.0,
7460133,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-07,,,,,26.0,
7460134,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-08,,,,,21.0,
7460135,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-09,,,,,18.0,
7460136,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-10,,,,,24.0,
7460137,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-11,,,,,29.0,
7460138,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-12,,,,,27.0,
7460139,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-14,,,,,18.0,
7460140,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-15,,,,,18.0,
7460141,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-16,,,,,23.0,
